! MS46522B
! 1629104/M1: 82820001
! 9/7/2022 4:16:36 PM
! D:\MESURE_MONTURE_07092022\LIGNE_35MM_4ROGERS.S2P
! CHANNEL.1
! TR.MEASUREMENT
! CORRECTED.DATA
# GHZ S RI R 50.0
! FREQ.GHZ         S11RE         S11IM         S21RE         S21IM         S12RE         S12IM         S22RE         S22IM         
!; PortSelection: Port_12
   0.001371183     0.0001157    0.0011873     1.0012870   -0.0022664     0.9987065   -0.0020513    -0.0000088    0.0015786 
   0.001379696     0.0001456    0.0012044     1.0011240   -0.0021417     0.9987213   -0.0020545    -0.0000078    0.0016021 
   0.001388263     0.0001655    0.0012219     1.0012150   -0.0021636     0.9986013   -0.0019836    -0.0000022    0.0016300 
   0.001396882     0.0001467    0.0012301     1.0012060   -0.0021938     0.9986778   -0.0021053    -0.0000156    0.0016023 
   0.001405555     0.0001839    0.0012339     1.0011270   -0.0021944     0.9987006   -0.0021157     0.0000004    0.0016071 
   0.001414282     0.0001550    0.0012426     1.0011970   -0.0021947     0.9986983   -0.0021624    -0.0000054    0.0016316 
   0.001423063     0.0001557    0.0012181     1.0012550   -0.0022672     0.9987271   -0.0020821     0.0000237    0.0016152 
   0.001431899     0.0001226    0.0012515     1.0013950   -0.0024856     0.9988239   -0.0020017     0.0000055    0.0016082 
   0.001440789     0.0001835    0.0012613     1.0012040   -0.0022207     0.9987047   -0.0022029     0.0000037    0.0016308 
   0.001449735     0.0001548    0.0012694     1.0011710   -0.0021361     0.9987456   -0.0021888    -0.0000117    0.0016351 
   0.001458736     0.0001381    0.0012849     1.0012370   -0.0023238     0.9987594   -0.0021292    -0.0000113    0.0016627 
   0.001467793     0.0001589    0.0013019     1.0011780   -0.0022250     0.9987052   -0.0022163     0.0000035    0.0016650 
   0.001476907     0.0001725    0.0013109     1.0011880   -0.0023785     0.9986877   -0.0022172    -0.0000004    0.0016710 
   0.001486077     0.0001766    0.0013235     1.0012520   -0.0022968     0.9987064   -0.0022336    -0.0000265    0.0016884 
   0.001495303     0.0001612    0.0013274     1.0012880   -0.0022985     0.9987375   -0.0022563    -0.0000063    0.0016748 
   0.001504588     0.0001594    0.0013403     1.0013250   -0.0022744     0.9986910   -0.0022213    -0.0000045    0.0016881 
   0.001513929     0.0001558    0.0013521     1.0012330   -0.0022299     0.9985601   -0.0022244    -0.0000255    0.0017022 
   0.001523329     0.0001652    0.0013832     1.0012630   -0.0023773     0.9986823   -0.0022762    -0.0000294    0.0017122 
   0.001532787     0.0001728    0.0013768     1.0012120   -0.0024084     0.9987019   -0.0022467    -0.0000027    0.0017407 
   0.001542304     0.0001566    0.0014162     1.0012360   -0.0024253     0.9987170   -0.0023523    -0.0000148    0.0017382 
   0.001551880     0.0001784    0.0014152     1.0012950   -0.0024235     0.9987220   -0.0023038    -0.0000283    0.0017311 
   0.001561516     0.0001522    0.0014006     1.0012300   -0.0023645     0.9986734   -0.0023104    -0.0000319    0.0017485 
   0.001571211     0.0001828    0.0014210     1.0012150   -0.0024422     0.9987583   -0.0023121    -0.0000277    0.0017453 
