! MS46522B
! 1629104/M1: 82820001
! 9/7/2022 4:41:57 PM
! D:\MESURE_MONTURE_07092022\LIGNE_25MM_VIDE.S2P
! CHANNEL.1
! TR.MEASUREMENT
! CORRECTED.DATA
# GHZ S RI R 50.0
! FREQ.GHZ         S11RE         S11IM         S21RE         S21IM         S12RE         S12IM         S22RE         S22IM         
!; PortSelection: Port_12
   0.001362722    -0.0000123    0.0007076     1.0009310   -0.0014554     0.9989377   -0.0011654    -0.0001943    0.0010591 
   0.001371183    -0.0000137    0.0007125     1.0009620   -0.0014444     0.9988946   -0.0011449    -0.0001614    0.0010721 
   0.001379696    -0.0000252    0.0007311     1.0007800   -0.0013895     0.9988911   -0.0011433    -0.0001556    0.0011041 
   0.001388263     0.0000038    0.0007340     1.0008580   -0.0013931     0.9989353   -0.0011808    -0.0001799    0.0010766 
   0.001396882    -0.0000114    0.0007477     1.0008500   -0.0014276     0.9989097   -0.0011632    -0.0001853    0.0010955 
   0.001405555    -0.0000001    0.0007622     1.0007900   -0.0015503     0.9988686   -0.0012006    -0.0002019    0.0011313 
   0.001414282    -0.0000303    0.0007540     1.0008270   -0.0014944     0.9989752   -0.0012264    -0.0001831    0.0010821 
   0.001423063    -0.0000149    0.0007347     1.0009080   -0.0014315     0.9990414   -0.0012141    -0.0001499    0.0010843 
   0.001431899    -0.0000576    0.0008560     1.0004440   -0.0015568     0.9990264   -0.0010188    -0.0001812    0.0011182 
   0.001440789    -0.0000134    0.0007754     1.0009070   -0.0015208     0.9989666   -0.0013107    -0.0001886    0.0010950 
   0.001449735    -0.0000069    0.0007816     1.0009140   -0.0014553     0.9989839   -0.0012150    -0.0001840    0.0010993 
   0.001458736    -0.0000404    0.0008322     1.0008850   -0.0014976     0.9989734   -0.0011935    -0.0002148    0.0011425 
   0.001467793    -0.0000112    0.0007869     1.0008210   -0.0014497     0.9989663   -0.0012286    -0.0001896    0.0011220 
   0.001476907    -0.0000151    0.0008159     1.0008270   -0.0015764     0.9989581   -0.0012508    -0.0001812    0.0011495 
   0.001486077    -0.0000126    0.0008249     1.0009320   -0.0015427     0.9989033   -0.0012227    -0.0002019    0.0011353 
   0.001495303    -0.0000453    0.0008486     1.0009930   -0.0015296     0.9988705   -0.0013226    -0.0002050    0.0011485 
   0.001504588    -0.0000480    0.0008507     1.0010440   -0.0015377     0.9989258   -0.0012499    -0.0001959    0.0011542 
   0.001513929    -0.0000151    0.0008644     1.0009310   -0.0015181     0.9988483   -0.0012089    -0.0002079    0.0011552 
   0.001523329    -0.0000197    0.0008698     1.0009500   -0.0015703     0.9989687   -0.0012633    -0.0002106    0.0011666 
   0.001532787    -0.0000072    0.0008849     1.0009240   -0.0015635     0.9989336   -0.0013224    -0.0002047    0.0011969 
   0.001542304    -0.0000251    0.0009239     1.0008380   -0.0015824     0.9989656   -0.0013531    -0.0002006    0.0012094 
   0.001551880    -0.0000172    0.0009265     1.0010090   -0.0015946     0.9989965   -0.0013219    -0.0002011    0.0012094 
   0.001561516    -0.0000191    0.0009122     1.0009650   -0.0016234     0.9989563   -0.0013439    -0.0002215    0.0012041 
   0.001571211    -0.0000158    0.0009471     1.0008900   -0.0016435     0.9989844   -0.0013393    -0.0001960    0.0012078 
   0.001580966    -0.0000082    0.0009466     1.0008420   -0.0015363     0.9989753   -0.0014125    -0.0002165    0.0012267 
   0.001590782    -0.0000219    0.0009414     1.0008890   -0.0016164     0.9989831   -0.0013720    -0.0002080    0.0012301 
   0.001600659    -0.0000084    0.0009345     1.0010170   -0.0015961     0.9989578   -0.0014371    -0.0002181    0.0012422 
   0.001610598    -0.0000389    0.0009584     1.0009100   -0.0016608     0.9989063   -0.0014956    -0.0002368    0.0012254 
   0.001620598    -0.0000290    0.0009675     1.0008110   -0.0016249     0.9989858   -0.0013955    -0.0002206    0.0012517 
