! MS46522B
! 1629104/M1: 82820001
! 9/7/2022 4:18:38 PM
! D:\MESURE_MONTURE_07092022\LIGNE_35MM_VIDE.S2P
! CHANNEL.1
! TR.MEASUREMENT
! CORRECTED.DATA
# GHZ S RI R 50.0
! FREQ.GHZ         S11RE         S11IM         S21RE         S21IM         S12RE         S12IM         S22RE         S22IM         
!; PortSelection: Port_12
   0.001000000     0.0000250    0.0005052     1.0007660   -0.0014545     0.9988703   -0.0013026     0.0000366    0.0013678 
   0.001006209     0.0000623    0.0005205     1.0009000   -0.0015786     0.9988963   -0.0013428     0.0000222    0.0013403 
   0.001012456     0.0000637    0.0005871     1.0009030   -0.0015731     0.9989073   -0.0012876     0.0000209    0.0013543 
   0.001018743     0.0000488    0.0006111     1.0008610   -0.0016058     0.9989222   -0.0013383     0.0000497    0.0013331 
   0.001025068     0.0000677    0.0006114     1.0009420   -0.0017853     0.9989390   -0.0013001     0.0000124    0.0013252 
   0.001031432     0.0000590    0.0006500     1.0009230   -0.0016330     0.9989644   -0.0013428     0.0000061    0.0013527 
   0.001037836     0.0000817    0.0006574     1.0010190   -0.0016235     0.9989509   -0.0013797     0.0000197    0.0013833 
   0.001044280     0.0000683    0.0006976     1.0009530   -0.0016587     0.9988920   -0.0014533     0.0000040    0.0013314 
   0.001050764     0.0000873    0.0006964     1.0009690   -0.0016684     0.9989294   -0.0012875     0.0000049    0.0013582 
   0.001057288     0.0000935    0.0007236     1.0010330   -0.0016823     0.9988531   -0.0013688     0.0000085    0.0013578 
   0.001063853     0.0001007    0.0007325     1.0010090   -0.0016749     0.9988432   -0.0013607     0.0000247    0.0013759 
   0.001070458     0.0000968    0.0007572     1.0009810   -0.0017107     0.9989133   -0.0013622    -0.0000042    0.0014077 
   0.001077104     0.0000689    0.0007797     1.0009690   -0.0016572     0.9989303   -0.0014031    -0.0000280    0.0013958 
   0.001083792     0.0000890    0.0007670     1.0010340   -0.0017989     0.9989583   -0.0013675     0.0000173    0.0013786 
   0.001090521     0.0000976    0.0008183     1.0009960   -0.0017717     0.9989242   -0.0015182    -0.0000189    0.0013624 
   0.001097292     0.0001126    0.0008201     1.0010430   -0.0018046     0.9989274   -0.0014917    -0.0000054    0.0013962 
   0.001104105     0.0001205    0.0008265     1.0010610   -0.0017360     0.9989260   -0.0014425     0.0000138    0.0013849 
   0.001110960     0.0000945    0.0008348     1.0010220   -0.0017411     0.9988922   -0.0015015     0.0000100    0.0013943 
   0.001117858     0.0001022    0.0008583     1.0010400   -0.0017237     0.9988483   -0.0015207    -0.0000083    0.0013759 
   0.001124799     0.0000788    0.0008688     1.0010990   -0.0017357     0.9988790   -0.0015035     0.0000106    0.0013569 
   0.001131782     0.0001050    0.0008812     1.0011310   -0.0017101     0.9989149   -0.0015540     0.0000088    0.0014069 
   0.001138809     0.0001289    0.0009135     1.0010860   -0.0017444     0.9989621   -0.0014751    -0.0000213    0.0014174 
